Term,TF,IDF,TF_IDF
Amazon CloudWatch,2,1,0.0
GST for New Purchases and Adjustments,1,1,0.0
0.020 per On Demand Linux t1.micro Instance,1,1,0.0
from EU (Germany,1,1,0.0
transfer from EU (Ireland,1,1,0.0
0.05 per 1 million I/O requests ­ US West (Oregon,1,1,0.0
First 1,000,000 Amazon SQS Requests per month,2,1,0.0
from US West (Northern California,1,1,0.0
0.000 per GB ­ storage under the monthly global,2,1,0.0
Elastic Compute Cloud,1,1,0.0
AWS Data Transfer USE1­APS2­AWS­Out­Bytes,1,1,0.0
Hour,2,1,0.0
free tier,2,1,0.0
GST to be collected,1,1,0.0
Details,1,1,0.0
AWS Data Transfer USW2­EU­AWS­In­Bytes,1,1,0.0
0.000000080 GB,1,1,0.0
616 Hrs,1,1,0.0
AWS Data Transfer USW2­CloudFront­Out­Bytes,1,1,0.0
0.00 per request ­ PUT, COPY, POST, or LIST,1,1,0.0
0.00 per LoadBalancer­hour (or partial hour,2,1,0.0
0.000062 GB,1,1,0.0
Amazon Simple Notification Service USW2­DeliveryAttempts­SMTP,1,1,0.0
0.000004 GB,5,1,0.0
15.40,2,1,0.0
341 Hrs,1,1,0.0
from South America (Sao Paulo,1,1,0.0
month are free,2,1,0.0
AWS Data Transfer USW2­APS2­AWS­In­Bytes,1,1,0.0
0.000 per GB ­ regional data transfer under the,2,1,0.0
0.00 per GB­month of provisioned storage under,2,1,0.0
7/7,1,1,0.0
3 Requests,1,1,0.0
Virginia) from CloudFront,1,1,0.0
7.473 GB­Mo,1,1,0.0
0.00,125,1,0.0
Total Charges: $40.61,1,1,0.0
US West (Oregon) Region,6,1,0.0
0.01,4,1,0.0
Amazon Simple Storage Service TimedStorage­ByteHrs,1,1,0.0
2,039,931 IOs,1,1,0.0
5.443 GB,1,1,0.0
Amazon RDS Service for MySQL Community Edition,1,1,0.0
AWS Data Transfer USW2­CloudFront­In­Bytes,1,1,0.0
Amazon Simple Storage Service USW2­TimedStorage­ByteHrs,1,1,0.0
AWS Data Transfer USE1­EUC1­AWS­In­Bytes,1,1,0.0
0.000012 GB,1,1,0.0
RDS Service,1,1,0.0
0.00 per GB Data Processed by the LoadBalancer,2,1,0.0
AWS Data Transfer USE1­USW1­AWS­In­Bytes,1,1,0.0
